fold,clearance_ll_gnn,clearance_ll_tab,length_rmse_gnn,length_rmse_tab,height_ll_gnn,height_ll_tab
1,0.37683174388184554,0.3961310158159261,7.74819157507713,7.918642931362968,0.6639585877214034,0.6730344659670061
2,0.35880379366299614,0.33552260926753047,7.757090103640583,7.8092471520923805,0.6743595535378568,0.6822417788803696
3,0.30362006929059193,0.29714488452925647,7.830051042685455,7.71289626871454,0.6685298374336992,0.6675594896095896
4,0.35166855530146796,0.35263972261767684,8.329981308586758,8.318443354135166,0.6616684660413481,0.6573988940411383
5,0.29140363040556977,0.2923796840536772,8.137869834533971,8.150954977001737,0.6725581525499297,0.671440817306542
