fold,n,xgb_log_loss,residual_log_loss,delta_log_loss,xgb_roc_auc,residual_roc_auc,xgb_pr_auc,residual_pr_auc,mean_abs_correction
1,541,0.49143976986486587,0.4910346571697165,-0.00040511269514936776,0.6625963488843813,0.6640365111561866,0.3531578581940525,0.3500850748244012,0.03916265231569241
2,536,0.4899197828129181,0.4983701222462662,0.008450339433348109,0.6673361367392623,0.6546998891190192,0.3148457340606436,0.30327011441531265,0.10028382268240814
3,539,0.5099794598726416,0.5101331695333895,0.0001537096607479027,0.6362395043612945,0.6363617836471835,0.30666708508298535,0.3059023639742853,0.006556561872439116
4,534,0.5225453665443319,0.5234531205062629,0.0009077539619309904,0.6001513463519224,0.5996048178588695,0.2885151113378317,0.2882153598972927,0.041280927759166176
5,533,0.5050250525485125,0.5054147923187893,0.00038973977027678686,0.6401624586525981,0.6393669137043084,0.3303713508437837,0.3305277224804629,0.014714534576601344
