incoming_found,incoming_length,incoming_start_x,incoming_start_y_from_centre,incoming_source_same_winner,incoming_seconds_before,incoming_high,incoming_low,incoming_ground,incoming_cross,incoming_switch,incoming_goal_kick,incoming_free_kick,incoming_corner,incoming_under_pressure,ahead_adv,behind_adv,central_adv,ahead_corridor_adv,behind_corridor_adv,mean_along_adv,flight_line_proximity_adv,winner_event_id
1.0,59.331696,113.0,4.100000000000001,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,-1.0,-1.0,0.0,5.796240291935646,0.2684838684965289,aa436187-a199-4a19-8fa8-44836e64e36e
1.0,38.684624,0.0,39.900000000000006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,3.5033118727171106,1.1141708237916006,4a40f0ca-9d7c-4659-9f8a-3a16751ef3a0
1.0,60.675613,113.0,3.8999999999999986,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,5.555793761638068,0.8014274882052143,c6778011-e687-4076-ba0e-10ba2cf82c24
1.0,57.444233,14.4,3.799999999999997,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,-4.130642184637875,0.4628122858852656,616f5ce8-67c3-48c1-bff6-eda55d4b09ce
1.0,50.843388,42.7,0.6000000000000014,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,1.0,-1.0,2.0,-8.646296100701003,0.297615422161736,940138f9-c95e-40a8-901a-e3e8f3649aff
1.0,9.141116,96.1,23.799999999999997,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-1.0,0.7114111046769631,0.5822512279321175,cb65248c-2cb2-44ab-9bde-f7de1de71e93
1.0,39.760406,0.0,39.900000000000006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,2.0,0.5325597485096445,0.46493864470372404,dd9f533c-4405-4163-aec3-81c426b9c645
1.0,59.41725,106.1,28.900000000000006,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,3.5559534149392302,0.44103527766432127,e0e3b6d0-7e59-4709-92aa-d77359446d17
1.0,50.12235,20.1,0.7999999999999972,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-4.2715365658322675,0.46389747466273973,c4626dae-5af1-4c46-9279-46045bb439ec
1.0,17.90754,80.5,14.3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.8220074059128146,0.04271792002469092,2d69069f-d976-4b84-8f96-245bcd5c41e0
1.0,5.3235326,31.400000000000006,34.2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,2.0,0.0,1.0,0.0,-5.7695273962240305,0.9215743843653315,bc9bebd8-24c5-4856-9811-09d3fac8d07f
0.0,,,,,,,,,,,,,,,,,,,,,,94c81e29-9380-4c31-860e-e41d08e5b09a
1.0,34.996716,14.3,19.700000000000003,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,-1.0,2.0,-6.700343948019187,0.41933262216927863,3f22ad23-8849-4cdc-bf2c-a3198786d8d8
1.0,40.380318,117.3,0.8999999999999986,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,-0.30475743802422883,0.37289280365865646,0ede2a5a-14ca-4fad-975f-631ec61e3db8
1.0,36.07603,90.5,13.600000000000001,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.036173861174534,0.5589748794898886,688d5b2e-3000-472f-bf79-8cfe5505b0ae
1.0,47.67599,43.6,3.700000000000003,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-7.3479536855723175,1.135779558362831,fc80d7b4-a1f9-4457-bdb9-3d9b28644eec
1.0,62.522396,100.5,22.200000000000003,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,6.342737220118641,0.4596674245108164,a1b87f23-832f-4597-8c5a-057da606e967
1.0,7.1589108,14.0,2.200000000000003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.1819667620733645,0.16249088326679603,c0694b7c-b58e-43f9-941e-af8a41b0cc67
1.0,27.237106,20.599999999999994,21.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,6.0061146406882475,0.1533598081652506,4d8b90ec-6ea2-4c47-a593-9f42741c60b6
1.0,17.765415,79.7,35.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,0.0,2.0,-6.111786661101605,0.21204846662595375,8ae292f0-8e58-42bd-9fa4-37a4b2cd210a
0.0,,,,,,,,,,,,,,,,,,,,,,f491764d-dba5-4b9e-a9a1-aaa3879cd38f
0.0,,,,,,,,,,,,,,,,,,,,,,45f81e0d-75d0-4ee0-9a4c-caa747e131cb
1.0,9.305912,97.9,2.700000000000003,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-1.0,-0.28700124983827546,0.03751454770431898,38c1eec1-b1fc-4d08-a3f0-21344db43e43
1.0,46.50172,116.5,4.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-1.0,0.0,-1.0,4.779599482401803,0.2566778867020902,261334c4-7479-4c38-be61-36d30c2a4ef4
1.0,50.25704,0.0,40.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,3.0,2.4581498763066207,0.5598079340963086,3571f1b0-7354-45cd-bd6a-fe343a62b1d3
1.0,6.685058,23.0,26.200000000000003,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,-1.0,1.6439338937396109,0.6899578835335637,80bdeaae-517f-44e0-969f-99291ad0c8bc
1.0,28.640007,85.2,10.899999999999999,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,2.0,-1.0,1.0,-2.357734073625557,0.1743212840586275,9d9c0a9e-4ba9-4ba7-a441-014178340991
1.0,70.45694,113.0,4.100000000000001,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-2.0,6.657902542960405,0.283386221247137,4ce2ff6f-7168-4526-9561-0192877ff410
1.0,74.89226,7.0,3.8999999999999986,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-4.04682613304249,0.5575605628122595,71fdcceb-f8fc-481b-b109-d192e8de1124
1.0,44.60101,39.2,28.599999999999994,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-1.0,-1.0,0.0,-10.957618348495556,0.2523752098968433,775e98af-274b-4c51-a1d4-e8b556abcb93
1.0,51.77886,106.0,1.7999999999999972,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0531477155641698,0.37334668921054126,56d60039-44f0-46d5-b588-6ab913980867
1.0,79.47333,114.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.971044673943948,1.6643028110469176,c60e395a-a13f-4ece-b384-ffe686118665
1.0,9.20489,22.400000000000006,6.600000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,-1.0,4.0,-1.906340525143042,0.6270474959160953,4499fee0-2db7-4699-9576-9999d0e92627
1.0,75.579094,14.4,4.200000000000003,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.579333889271744,0.8351572268687533,ddb5c2bf-12c6-4778-85d2-f6bf366cc1b8
