stage,log_loss,roc_auc,pr_auc,brier
prior,0.5181628566830098,0.4972355924511301,0.21201377861442458,0.16774402366903932
location_only,0.510808794635001,0.6021721054880694,0.2736100272434478,0.1657073772866392
setup_geometry,0.5054022290089887,0.6355296763870899,0.29917069180311967,0.16338051434643164
setup_plus_incoming,0.503243762125935,0.6416001099800247,0.30738713954265895,0.16271328159584392
plus_contact_type,0.473393774531745,0.712713624603724,0.37359731069137914,0.1524886005308377
plus_outgoing_touch,0.45429874979803764,0.7472620936619041,0.40791761435035767,0.14707007949793216
plus_landing_zone,0.4533218696586888,0.7499602481838389,0.3970784213713069,0.14728788742129367
