winner_event_id,match_id,target,p_setup_incoming_xgb,p_xgb_plus_residual_gnn,graph_logit_correction,is_clearance
aa436187-a199-4a19-8fa8-44836e64e36e,3764440,0,0.08144009858369827,0.07629487663507462,-0.07084764540195465,0
4a40f0ca-9d7c-4659-9f8a-3a16751ef3a0,3764440,0,0.34564632177352905,0.35019004344940186,0.020028043538331985,1
c6778011-e687-4076-ba0e-10ba2cf82c24,3764440,0,0.10628151893615723,0.09856759011745453,-0.08394303172826767,1
616f5ce8-67c3-48c1-bff6-eda55d4b09ce,3764440,0,0.09428506344556808,0.08649151027202606,-0.09484454244375229,0
940138f9-c95e-40a8-901a-e3e8f3649aff,3764661,0,0.056324899196624756,0.05906308442354202,0.050375279039144516,0
cb65248c-2cb2-44ab-9bde-f7de1de71e93,3764661,0,0.09528848528862,0.09533858299255371,0.0005809376016259193,0
dd9f533c-4405-4163-aec3-81c426b9c645,3764661,0,0.3058665692806244,0.31320977210998535,0.0343593955039978,1
e0e3b6d0-7e59-4709-92aa-d77359446d17,3764661,0,0.2705875039100647,0.2559744119644165,-0.07535412907600403,0
c4626dae-5af1-4c46-9279-46045bb439ec,3764661,0,0.14060474932193756,0.14230288565158844,0.013982915319502354,0
2d69069f-d976-4b84-8f96-245bcd5c41e0,3764661,0,0.1498897522687912,0.1558590680360794,0.0460987314581871,0
bc9bebd8-24c5-4856-9811-09d3fac8d07f,3764661,0,0.13402782380580902,0.13907891511917114,0.04284410923719406,1
94c81e29-9380-4c31-860e-e41d08e5b09a,3764661,0,0.1454288512468338,0.15151314437389374,0.04813056066632271,1
3f22ad23-8849-4cdc-bf2c-a3198786d8d8,3773369,0,0.03294884040951729,0.03274855017662048,-0.006304487120360136,0
0ede2a5a-14ca-4fad-975f-631ec61e3db8,3773369,0,0.0828198492527008,0.08361987769603729,0.010486109182238579,0
688d5b2e-3000-472f-bf79-8cfe5505b0ae,3773369,0,0.17275658249855042,0.176285982131958,0.02449953556060791,0
fc80d7b4-a1f9-4457-bdb9-3d9b28644eec,3773369,0,0.06912105530500412,0.06895114481449127,-0.0026438613422214985,0
a1b87f23-832f-4597-8c5a-057da606e967,3773369,1,0.23427537083625793,0.23266953229904175,-0.008973047137260437,1
c0694b7c-b58e-43f9-941e-af8a41b0cc67,3773372,1,0.405863493680954,0.4451434910297394,0.16077949106693268,1
4d8b90ec-6ea2-4c47-a593-9f42741c60b6,3773372,0,0.21728649735450745,0.2203894555568695,0.01815163902938366,1
8ae292f0-8e58-42bd-9fa4-37a4b2cd210a,3773372,1,0.08674092590808868,0.08705023676156998,0.0038983807899057865,0
f491764d-dba5-4b9e-a9a1-aaa3879cd38f,3773372,1,0.29270392656326294,0.2753008306026459,-0.08560441434383392,1
45f81e0d-75d0-4ee0-9a4c-caa747e131cb,3773372,1,0.15372812747955322,0.138326957821846,-0.12360089272260666,0
38c1eec1-b1fc-4d08-a3f0-21344db43e43,3773372,0,0.1574070304632187,0.15010619163513184,-0.05611933767795563,0
261334c4-7479-4c38-be61-36d30c2a4ef4,3773372,0,0.19285760819911957,0.2402886152267456,0.2804501950740814,0
3571f1b0-7354-45cd-bd6a-fe343a62b1d3,3773377,0,0.17674501240253448,0.20472192764282227,0.18151868879795074,1
80bdeaae-517f-44e0-969f-99291ad0c8bc,3773377,0,0.24188458919525146,0.2896747291088104,0.2454104870557785,0
9d9c0a9e-4ba9-4ba7-a441-014178340991,3773377,0,0.08273915201425552,0.07662317156791687,-0.08343880623579025,0
4ce2ff6f-7168-4526-9561-0192877ff410,3773377,1,0.18823568522930145,0.18353243172168732,-0.031080573797225952,1
71fdcceb-f8fc-481b-b109-d192e8de1124,3773377,0,0.17901769280433655,0.1873081922531128,0.05542035400867462,0
775e98af-274b-4c51-a1d4-e8b556abcb93,3773386,0,0.12447577714920044,0.12709453701972961,0.023815806955099106,0
56d60039-44f0-46d5-b588-6ab913980867,3773386,0,0.3160763084888458,0.3056196868419647,-0.04881569370627403,0
c60e395a-a13f-4ece-b384-ffe686118665,3773386,0,0.36374950408935547,0.3659457266330719,0.00947732012718916,1
