task,model,log_loss,roc_auc,pr_auc,mae,rmse,r2,accuracy,macro_f1
clearance,gnn,0.336547360006553,0.9228435970345721,0.9062202401979641,,,,,
clearance,tabular,0.3348853051062962,0.9247776213893748,0.9049578106716668,,,,,
pass_length,gnn,,,,6.104718227222022,7.964379686692841,-0.01701258436763209,,
pass_length,tabular,,,,6.094593643557084,7.985677765019237,-0.022459179409974883,,
pass_height,gnn,0.6681903533459658,,,,,,0.5981970379909852,0.47470078057241977
pass_height,tabular,0.670308310256061,,,,,,0.604636188023181,0.4872768529272594
