match_id,competition,season,winner_event_id,split,target,winner_event_type,is_clearance,contest_x,contest_y,coverage_15m,loser_source_proxy,contestant_distance,nearest_winner_support,nearest_loser_support,second_winner_support,second_loser_support,winner_support_spread,loser_support_spread,winner_angular_concentration,loser_angular_concentration,support_centroid_gap,pass_length,pass_is_high,pass_is_low,winner_centroid_dx,winner_centroid_dy,loser_centroid_dx,loser_centroid_dy,winner_support_5m,loser_support_5m,support_advantage_5m,winner_support_10m,loser_support_10m,support_advantage_10m,winner_support_15m,loser_support_15m,support_advantage_15m
3764440,La Liga,2020/2021,aa436187-a199-4a19-8fa8-44836e64e36e,train,0,Pass,0,59.2,11.2,0.926461508460428,0,0.7822335721587582,7.92945184417122,6.736703634527219,10.262216614308377,7.811644178610133,5.466656909929777,5.385031384567782,0.8430963445429107,0.7443114301376647,2.7097721741849425,22.703524,0,1,-6.446726779875806,5.959579401988564,-4.261046922675227,4.357808882277751,0,0,0,1,2,-1,3,3,0
3764440,La Liga,2020/2021,9515fb22-8496-4aba-8914-c43b6d8d94df,train,1,Pass,0,39.2,14.1,0.8022693268771173,0,1.171215398840443,9.097857260334866,6.638723012285015,,13.367012861009744,0.0,5.934666433405584,1.0,0.8547760353931725,3.0091165287164983,21.936728,0,1,-4.259127902694303,8.039330583942837,-6.403702013330729,5.928505113331207,0,0,0,1,1,0,1,2,-1
3764440,La Liga,2020/2021,4a40f0ca-9d7c-4659-9f8a-3a16751ef3a0,train,0,Clearance,1,6.8,41.9,0.7783992046865217,1,1.7716827775242838,4.603337067105328,4.485097495599036,5.38328198204107,9.529076613734256,7.01750796744628,2.917164677192697,0.6136260596374041,0.998779596231922,3.095630741877923,,0,0,3.180285324289174,-5.079331082093131,3.2844994912848593,-8.173207145780404,1,1,0,4,2,2,7,3,4
3764440,La Liga,2020/2021,c6778011-e687-4076-ba0e-10ba2cf82c24,train,0,Clearance,1,53.9,57.3,0.9377868196828093,1,0.9549234304154488,4.665037538812584,6.370438217248277,6.802086446102718,7.769137169388582,8.799651382173508,8.045412534450989,0.29209564841129226,0.3941880431841814,8.682621446856537,,0,0,-3.5183263248606114,-2.803763232908377,4.189766999264101,1.1928869264121946,1,0,1,2,3,-1,4,4,0
3764440,La Liga,2020/2021,616f5ce8-67c3-48c1-bff6-eda55d4b09ce,train,0,Pass,0,70.4,31.0,0.9659294253102667,0,0.597203775841868,9.72101297541238,3.2408818582896064,13.959264644279111,9.09834319416323,9.196305052407343,7.811479980025705,0.640200785679306,0.21062025681796084,4.359803259105893,6.8942003,1,0,-2.264229734665676,-7.4149051531561305,-0.9751565849924381,-3.250031220742104,0,1,-1,1,2,-1,2,3,-1
3764440,La Liga,2020/2021,127a204d-4a20-4848-bffc-08749e084513,train,1,Pass,0,110.4,47.1,0.8776134971685465,0,2.096589773857775,1.4982204806766621,1.1246256450241472,5.917052562410854,1.6468886639249507,5.053548771828276,5.423236008311427,0.7884238654706168,0.6811934087300624,3.1141554915949117,15.002999,1,0,-1.6846127134225906,-6.504345963510656,0.9799791035625063,-4.892541113447596,1,2,-1,2,3,-1,3,4,-1
3764440,La Liga,2020/2021,686d281d-ae2b-41da-adae-ba2dd461216c,train,1,Pass,0,65.8,40.3,0.8076196463761146,0,0.6243238825085885,9.27977183500045,4.021853632950216,11.411050321746096,,5.375226294246979,0.0,0.8589935114404217,1.0,10.5877835952223,35.694817,1,0,6.580563301463556,-5.997186531917411,1.943443876896552,3.521126601278084,0,1,-1,1,1,0,2,1,1
3764661,La Liga,2020/2021,940138f9-c95e-40a8-901a-e3e8f3649aff,train,0,Pass,0,84.6,69.0,0.8951995088488794,0,0.8978884252577762,11.197102642644795,6.949898894137837,12.931878294572154,7.788190902417997,12.030208319805237,6.641709448295733,0.24451948761895445,0.43390094853401334,2.970402268060743,13.243867,1,0,-3.156919406146841,0.5145619064626175,-2.24148899108809,-2.3112612991335446,0,0,0,0,2,-2,4,2,2
3764661,La Liga,2020/2021,cb65248c-2cb2-44ab-9bde-f7de1de71e93,train,0,Pass,0,86.4,52.4,0.7896194234535826,0,1.6288598039841606,12.507841112507151,8.604544154739699,12.791092329060845,9.394650902595908,4.910357288506225,6.968645632795299,0.9216384365997358,0.7677770592290922,4.9498990150279365,16.234838,1,0,10.17633996787832,-5.688546588586377,9.188328820461331,-0.8382544085672906,0,0,0,0,2,-2,2,7,-5
3764661,La Liga,2020/2021,dd9f533c-4405-4163-aec3-81c426b9c645,train,0,Clearance,1,11.8,42.0,0.9428041721067048,1,0.6065097981124222,2.171315894162634,2.4675794481734576,3.12675374028961,4.64075371424135,7.824347383792151,6.985061687673305,0.14351627565759834,0.024612081237778128,2.5576984922392336,,0,0,0.4048893299935322,-0.6718027594506459,1.8394196171692148,-2.7893353878600653,3,2,1,7,3,4,10,4,6
